neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,distance_to_sol_km,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,host_experience_months,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,amenities_count,has_license_info,has_wifi,has_air_conditioning,has_kitchen,has_washer,has_workspace,has_parking,has_pool,has_elevator,has_balcony_or_patio,price_numeric
Opañel,Carabanchel,40.38799,-3.7247,3.681264635457904,Private room in home,Private room,1,1.0,,1.0,1.0,365.0,f,1.0,f,t,31.0,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,42.0
Palomeras Sureste,Puente de Vallecas,40.38548249999999,-3.6408404,6.362906483153297,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,365.0,f,1.0,t,t,37.0,1,1,0,0,6,0,1,0,0,1,0,0,0,0,0,209.98
Universidad,Centro,40.42488,-3.70733,0.9373677196154837,Room in hotel,Private room,2,,,,1.0,731.0,,,,,0.0,2,0,2,0,27,0,1,1,0,0,0,0,0,1,0,259.09
Fuente del Berro,Salamanca,40.42882,-3.66664,3.3969045389986343,Room in hotel,Private room,2,,,,1.0,731.0,,,,,0.0,1,0,1,0,24,0,1,1,0,0,1,0,0,1,0,179.38
Trafalgar,Chamberí,40.428710035968166,-3.698324351552891,1.3831378908003644,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1.0,365.0,f,1.0,f,t,28.0,1,1,0,0,4,0,0,1,1,1,0,0,0,0,0,95.0
Arapiles,Chamberí,40.43086,-3.70771,1.5862659918022026,Room in hotel,Private room,2,,,,1.0,731.0,,,,,0.0,3,0,3,0,25,0,1,1,0,0,0,1,0,1,0,131.73
Palacio,Centro,40.4125428824599,-3.713437934419789,0.9650642431071502,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,1.0,365.0,f,2.0,t,t,82.0,2,1,1,0,16,0,1,0,1,1,1,0,0,0,0,503.0
Palacio,Centro,40.41175673391693,-3.715674470576698,1.1727847519891166,Entire rental unit,Entire home/apt,2,,1.0,,2.0,90.0,f,1.0,t,t,7.0,1,1,0,0,14,1,1,1,1,1,1,1,0,0,0,188.0
Cuatro Caminos,Tetuán,40.4466543861658,-3.697958440465263,3.3385350763463446,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,31.0,125.0,f,1042.0,t,t,73.0,449,449,0,0,25,1,1,1,1,1,1,0,0,0,0,149.68
Numancia,Puente de Vallecas,40.3976962,-3.6598983,4.275127150621882,Entire rental unit,Entire home/apt,3,1.0,1.0,,1.0,365.0,f,4.0,t,t,130.0,2,2,0,0,11,1,1,1,1,1,1,1,0,0,0,88.0
Berruguete,Tetuán,40.45581,-3.7035,4.322156824938612,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,365.0,f,4.0,t,t,109.0,3,3,0,0,15,1,1,1,1,1,0,0,0,1,0,166.0
Opañel,Carabanchel,40.3866623,-3.7225907,3.7306873331191444,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,3.0,365.0,f,50.0,t,t,79.0,40,40,0,0,19,1,1,1,1,1,0,0,0,0,0,222.67
Fontarrón,Moratalaz,40.4069,-3.65918,3.923799907112424,Room in hotel,Private room,2,1.0,2.0,3.0,1.0,365.0,f,8.0,t,t,12.0,8,0,8,0,9,1,1,1,1,1,0,1,0,0,0,112.0
